# Simulation 1 (Up to date),
# 2735 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#,
# Drag coefficient (​),Mach number (​)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.,
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.455,0.343
0.455,0.341
0.455,0.34
0.454,0.338
0.454,0.336
0.454,0.334
0.454,0.333
0.454,0.331
0.454,0.329
0.453,0.327
0.453,0.326
0.453,0.324
0.453,0.322
0.453,0.32
0.453,0.319
0.452,0.317
0.452,0.315
0.452,0.314
0.452,0.312
0.452,0.31
0.452,0.308
0.451,0.307
0.451,0.305
0.451,0.303
0.451,0.302
0.451,0.3
0.451,0.298
0.45,0.297
0.45,0.295
0.45,0.293
0.45,0.291
0.45,0.29
0.45,0.288
0.45,0.286
0.449,0.285
0.449,0.283
0.449,0.281
0.449,0.28
0.449,0.278
0.449,0.276
0.449,0.275
0.448,0.273
0.448,0.271
0.448,0.27
0.448,0.268
0.448,0.267
0.448,0.265
0.448,0.263
0.448,0.262
0.447,0.26
0.447,0.258
0.447,0.257
0.447,0.255
0.447,0.253
0.447,0.252
0.447,0.25
0.447,0.249
0.446,0.247
0.446,0.245
0.446,0.244
0.446,0.242
0.446,0.24
0.446,0.239
0.446,0.237
0.446,0.236
0.445,0.234
0.445,0.232
0.445,0.231
0.445,0.229
0.445,0.228
0.445,0.226
0.445,0.224
0.445,0.223
0.445,0.221
0.445,0.22
0.444,0.218
0.444,0.216
0.444,0.215
0.444,0.213
0.444,0.212
0.444,0.21
0.444,0.208
0.444,0.207
0.444,0.205
0.444,0.204
0.443,0.202
0.443,0.201
0.443,0.199
0.443,0.197
